Panel ID,Row,Column,Width (in),Height (in),Area (sq ft),Width + bleed (in),Height + bleed (in),Artboard #,Left edge from wall left (in),Top edge from wall top (in),Check
A01,A,1,39.75,74.5,20.57,40.75,75.5,2,0,0,
A02,A,2,62.25,74.5,32.21,63.25,75.5,3,40.25,0,
A03,A,3,62.25,74.5,32.21,63.25,75.5,4,103,0,
A04,A,4,63,74.5,32.59,64,75.5,5,165.75,0,
A05,A,5,62.25,74.5,32.21,63.25,75.5,6,229.25,0,
A06,A,6,62.25,74.5,32.21,63.25,75.5,7,292,0,
A07,A,7,62.25,74.5,32.21,63.25,75.5,8,354.75,0,
A08,A,8,67.25,74.5,34.79,68.25,75.5,9,417.5,0,
A09,A,9,67,74.5,34.66,68,75.5,10,485.25,0,
A10,A,10,67,74.5,34.66,68,75.5,11,552.75,0,
A11,A,11,67,74.5,34.66,68,75.5,12,620.25,0,
A12,A,12,67,74.5,34.66,68,75.5,13,687.75,0,
A13,A,13,67,74.5,34.66,68,75.5,14,755.25,0,
A14,A,14,67,74.5,34.66,68,75.5,15,822.75,0,
A15,A,15,67,74.5,34.66,68,75.5,16,890.25,0,
A16,A,16,67,74.5,34.66,68,75.5,17,957.75,0,
A17,A,17,67,74.5,34.66,68,75.5,18,1025.25,0,
A18,A,18,67,74.5,34.66,68,75.5,19,1092.75,0,
A19,A,19,67,74.5,34.66,68,75.5,20,1160.25,0,
A20,A,20,67,74.5,34.66,68,75.5,21,1227.75,0,
A21,A,21,67,74.5,34.66,68,75.5,22,1295.25,0,
A22,A,22,67,74.5,34.66,68,75.5,23,1362.75,0,
A23,A,23,67,74.5,34.66,68,75.5,24,1430.25,0,
A24,A,24,66.875,74.5,34.6,67.875,75.5,25,1497.75,0,
A25,A,25,67,74.5,34.66,68,75.5,26,1565.125,0,
A26,A,26,67,74.5,34.66,68,75.5,27,1632.625,0,
A27,A,27,67,74.5,34.66,68,75.5,28,1700.125,0,
A28,A,28,67,74.5,34.66,68,75.5,29,1767.625,0,
A29,A,29,57,74.5,29.49,58,75.5,30,1835.125,0,
A30,A,30,57,74.5,29.49,58,75.5,31,1892.625,0,
A31,A,31,57.5,74.5,29.75,58.5,75.5,32,1950.125,0,
A32,A,32,57.5,74.5,29.75,58.5,75.5,33,2008.125,0,
A33,A,33,57.5,74.5,29.75,58.5,75.5,34,2066.125,0,
A34,A,34,58.25,74.5,30.14,59.25,75.5,35,2124.125,0,
A35,A,35,16,74.5,8.28,17,75.5,36,2182.875,0,
B01,B,1,41,40.5,11.53,42,41.5,37,3.063,76.75,
B02,B,2,62,40.5,17.44,63,41.5,38,44.563,76.75,
B03,B,3,62,40.5,17.44,63,41.5,39,107.063,76.75,
B04,B,4,62,40.5,17.44,63,41.5,40,169.563,76.75,
B05,B,5,62,40.5,17.44,63,41.5,41,232.063,76.75,
B06,B,6,62,40.5,17.44,63,41.5,42,294.563,76.75,
B07,B,7,62,40.5,17.44,63,41.5,43,357.063,76.75,
B08,B,8,67,40.5,18.84,68,41.5,44,419.563,76.75,
B09,B,9,67,40.5,18.84,68,41.5,45,487.063,76.75,
B10,B,10,67,40.5,18.84,68,41.5,46,554.563,76.75,
B11,B,11,67,40.5,18.84,68,41.5,47,622.063,76.75,
